SMOC1|Q9H4F8-2
PLCB4|Q15147-5
GNB1|F6UT28
RBM27|Q9P2N5
GCLC|P48506
TTC8|Q8TAM2
GAN|Q9H2C0
LNP|Q9C0E8-4
ZNF483|Q8TF39
GRIK2|Q13002
LASP1|Q14847-2
GRAMD4|Q6IC98
DIP2C|Q9Y2E4
MBP|H7BYR8
TANC2|J3QQY7
CREB1|P16220
CDC42EP2|O14613
KIF21B|O75037
SLC25A26|Q70HW3
AGL|P35573
S100A12|P80511
HNRNPAB|Q99729-3
YY1|P25490
ULK3|Q6PHR2
TSN|Q15631
XRCC6|P12956
FBXO3|Q9UK99
RPS4Y1|P22090
LXN|Q9BS40
ABCF3|Q9NUQ8
SVIL|O95425
STAMBPL1|Q96FJ0-2
SNX11|Q9Y5W9
IGHG4|P01861
ZBTB16|Q05516
CHAMP1|Q96JM3
SYBU|A0A0C4DG86
NFYC|Q13952
MAPK14|Q16539
MARCKS|A0A087WZH7
ATP9A|O75110
ANKRD44|Q8N8A2-2
GGH|Q92820
DTX3L|Q8TDB6
PEX2|P28328
PPIE|Q9UNP9-3
DYNLRB1|B1AKR6
PAPLN|O95428
INTS2|Q9H0H0
AAK1|A0A096LP25
SLC44A1|Q8WWI5-2
EHD1|A0A024R571
RGS14|O43566-6
RIOK3|O14730
COL5A1|A0A087WXW9
STUB1|Q9UNE7
SLC44A1|Q8WWI5
HBS1L|Q9Y450-2
PTPN18|Q99952
CEP170|Q5SW79
PPIE|Q9UNP9
ASPSCR1|J3QR12
LAMB2|P55268
SETD3|Q86TU7
TMEM63C|Q9P1W3
TBC1D22B|Q9NU19
YJEFN3|A6XGL0-2
EEF1D|P29692-3
ILKAP|Q9H0C8
TUBG1|P23258
MLEC|Q14165
USP8|P40818
MTMR6|Q9Y217
ACN9|Q9NRP4
USP35|Q9P2H5
ZNF638|Q14966
PHYKPL|Q8IUZ5
GAMT|Q14353
EIF5|P55010
STAMBPL1|Q96FJ0
HK3|P52790
PHF6|Q8IWS0
COLGALT1|Q8NBJ5
STT3B|Q8TCJ2
NAGA|P17050
TSPAN15|O95858
MARCKS|P29966
IP6K1|Q92551
CHMP6|I3L4A1
ABCD3|P28288
PMP2|P02689
ABHD14A|Q9BUJ0
NUP37|Q8NFH4
HABP4|Q5JVS0
COL2A1|P02458
ATL3|Q6DD88
KARS|Q15046
LIMK1|E9PC47
FOXJ3|Q9UPW0
HOGA1|Q86XE5
ITM2C|Q9NQX7
OCIAD2|Q56VL3
CXADR|P78310
ZMYND11|Q15326
RLTPR|Q6F5E8-2
UXT|A0A0C4DFR8
JMJD7|P0C870
RUFY3|Q7L099
SNX18|Q96RF0-2
PDE1C|A0A0A0MS69
SIPA1|Q96FS4
AKAP13|Q12802-2
TPM1|P09493-6
DPP7|Q9UHL4
SLC6A8|P48029
RLTPR|Q6F5E8
NIT1|Q86X76
TIMM10B|Q9Y5J6
ISG15|P05161
PALM|O75781-2
PCDH10|Q9P2E7
CHMP2B|Q9UQN3
TUBB4A|M0R2D3
LRFN4|Q6PJG9
ERMP1|Q7Z2K6
FAM172A|Q8WUF8
EEF1A2|Q05639
ABCB5|Q2M3G0
VPS28|Q9UK41
IPO7|O95373
NISCH|Q9Y2I1
DEPDC5|O75140
GLUD2|P49448
METAP1|P53582
VAMP8|Q9BV40
UBE2Z|Q9H832
RTN4|Q9NQC3-5
ANKRD17|O75179
PF4|P02776
DAAM2|Q86T65
RUFY3|Q7L099-3
TXNDC5|Q8NBS9
ALB|P02768
KCNJ3|P48549
GADD45GIP1|Q8TAE8
PBDC1|Q9BVG4
LPHN3|E7EUP0
THOC7|Q6I9Y2
GGPS1|O95749
EEFSEC|P57772
NOGENE|K7ESF4
TMTC3|Q6ZXV5
SIRPB1|Q5TFQ8
MIPEP|Q99797
TOR1AIP1|Q5JTV8
NRBP1|Q9UHY1
MAPRE3|Q9UPY8-2
HSPA14|Q0VDF9
PCDH1|D6RAX3
MPRIP|Q6WCQ1
PRKAA2|A0A087WXX9
SEMA6A|A0A0A0MQU6
SLC38A1|F8VX04
PDE1C|Q14123
RAD23B|P54727
RBP1|A0A0A0MQT0
TMEM43|Q9BTV4
TP53I11|E9PPM1
RAB32|Q13637
LYSMD2|Q8IV50
HERC4|Q5GLZ8
ULK3|Q6PHR2-4
YWHAE|K7EM20
SECISBP2L|Q93073
CHMP6|Q96FZ7
CACYBP|Q9HB71
NQO1|P15559
HECTD4|Q9Y4D8-5
SRSF3|P84103
LPHN3|E7EN28
TMEFF2|Q9UIK5
GOLGA5|Q8TBA6
KARS|Q15046-2
ABCD1|P33897
GET4|Q7L5D6
ATP6V0A1|K7ENA1
KPNA2|P52292
CCDC6|Q16204
ARMC9|A0A087X1I8
RCAN1|E9PDJ2
MRPS23|Q9Y3D9
POM121|Q96HA1
RBM8A|Q9Y5S9
MRPL37|Q9BZE1
FRMD4A|Q9P2Q2
MCTP1|D6RA42
ACOT11|Q8WXI4-2
KCNB1|Q14721
EPHB3|P54753
ADNP|Q9H2P0
ADA|P00813
LPP|C9J2R5
GSTK1|Q9Y2Q3
VPS13D|Q5THJ4
GSKIP|Q9P0R6
RBM8A|Q9Y5S9-2
COPE|M0QXB4
RPS6KA1|Q15418-2
RPL18|G3V203
FAM175B|Q15018
TAC1|P20366
PTBP3|O95758-4
MEGF10|Q96KG7
FUBP1|E9PEB5
MARK4|Q96L34
SELH|Q8IZQ5
CYBRD1|Q53TN4
RPL36AL|Q969Q0
GJC2|Q5T442
MPRIP|Q6WCQ1-2
METTL3|Q86U44
CORO6|Q6QEF8
PSMD7|P51665
SLC16A2|P36021
SCYL2|Q6P3W7
CCBL1|B7Z4W5
WIPI2|Q9Y4P8
PLD3|Q8IV08
JPH4|A0A087WWT0
GRM7|Q14831-2
PITPNM2|Q9BZ72
NOGENE|A0A096LPI6
ATP5B|P06576
HCN2|Q9UL51
COPE|O14579
SCO1|O75880
HSCB|Q8IWL3
IGLC2|A0A075B6K9
SF3B4|Q15427
OTULIN|Q96BN8
EPS8|Q12929
SRSF4|Q08170
PRKAA2|P54646
PDCD6IP|F8WDK9
RNASE1|P07998
COL4A5|P29400-2
SGCD|Q92629-2
MRPL54|Q6P161
C2orf88|Q9BSF0
TRMT11|Q7Z4G4
LIMCH1|G5EA03
ARHGEF7|Q14155-3
XKR4|Q5GH76
NUMBL|M0QXQ4
EIF1AY|O14602
HCK|J3KPD6
STIM2|Q9P246-2
C15orf40|Q8WUR7
SOX10|P56693
ARMCX3|Q9UH62
SIRT2|F8WCF4
ACAT1|E9PKF3
HACE1|Q8IYU2
ANP32E|Q9BTT0
TSC22D4|H7BZ77
MRPL37|S4R369
ENAH|A0A075B6E5
ZCCHC24|Q8N2G6
ENTPD1|P49961-6
LOC102724023|A0A0B4J2D5
CARNS1|A5YM72-3
SORBS1|Q9BX66
APOC1|K7EPF9
LMAN2|Q12907
ATP13A2|Q9NQ11
ARPC1A|Q92747
ATP13A1|Q9HD20
SFPQ|P23246
DDX18|Q9NVP1
TGFB1I1|O43294
SART1|O43290
RPL23A|A8MUS3
NT5C1A|Q9BXI3
N4BP1|O75113
RIT1|Q92963-3
CCAR2|G3V119
MPP1|Q00013
USP54|Q70EL1
PC|P11498
NAPB|Q9H115-2
P4HB|P07237
CLIC6|Q96NY7
NOGENE|P01617
SKP1|E5RJR5
ZADH2|J3QQQ7
CCK|P06307
NHEJ1|Q9H9Q4
PPP1R14A|Q96A00
SFT2D2|O95562
TRIM23|P36406
GFM2|Q969S9
PAM|P19021
FAHD2B|Q6P2I3
CDC73|Q6P1J9
RASAL2|H0Y638
PEX5|B4E0T2
ABI2|F8WAL6
OAS3|Q9Y6K5
CHCHD2|Q9Y6H1
TCEB1|Q15369
TNPO3|Q9Y5L0
GSTZ1|G3V4T6
TIMM23B|Q5SRD1
OSBPL11|Q9BXB4
WIPI2|Q9Y4P8-6
EIF2A|Q9BY44
PSMC1|G3V4X1
SLC2A1|P11166
FMN1|Q68DA7-5
SNAPIN|O95295
HAAO|P46952
BSDC1|Q9NW68-4
RASA4|O43374
DDX5|J3KTA4
FUNDC1|Q8IVP5
TPM2|Q5TCU3
NADK2|Q4G0N4
AUP1|Q9Y679
RAB4B|P61018-2
MTMR7|Q9Y216
CLMN|Q96JQ2
PIKFYVE|Q9Y2I7
SIPA1L3|O60292
RASA4B|C9J798
RHOT1|Q8IXI2
PSMD4|Q5VWC4
HLA-DRB1|P04229
CELF5|Q8N6W0-2
LASP1|Q14847
PPP1R11|O60927
TPM2|P07951
INPP5A|B1AP38
CMPK2|Q5EBM0
USP24|Q9UPU5
PENK|P01210
STX5|Q13190
THAP4|Q8WY91
MYL6B|P14649
HLA-DRB1|A0A087WX18
ARHGEF26|Q96DR7
FRYL|O94915
PCM1|A6NNN6
SUMF2|J3KQJ1
FUBP1|Q96AE4
ELAVL3|Q14576
STOML2|Q9UJZ1
COL1A2|P08123
BTF3|P20290
UBA52|P62987
TBC1D23|Q9NUY8
PAIP1|Q9H074
ANKIB1|Q9P2G1
DIP2C|F6XJ20
PTPN9|P43378
SGSM1|Q2NKQ1
CACNA2D3|Q8IZS8
STAT1|P42224
FKBP5|Q13451
LSM14B|Q5TBP9
NT5E|P21589
MADD|Q8WXG6-4
NAT6|Q93015-2
COX14|Q96I36
NEO1|Q92859-3
ALYREF|E9PB61
RAPGEF3|O95398
RPL35|P42766
DGUOK|Q16854
CORO6|J3KSS5
TAPT1|Q6NXT6
SPIN3|Q5JUX0
DHX30|Q7L2E3-2
TNPO3|C9J7E5
DLG2|E9PN83
ATRX|P46100
NT5C1B-RDH14|C9J2C7
CPSF6|Q16630-2
CELF5|Q8N6W0
PLEC|H0YDN1
PSMA3|H0YJ03
GRIP1|Q9Y3R0
FEN1|P39748
CYTH1|Q15438
NEDD4|P46934
ASPA|P45381
SLC39A14|Q15043
SORCS3|Q9UPU3
TUBG2|Q9NRH3
GOT1|P17174
COQ7|Q99807
EML4|B5MBZ0
AKAP2|Q9Y2D5-4
CCDC101|Q96ES7
GIMAP4|G5E9W9
CISD2|D6RCF4
LAMTOR2|Q9Y2Q5-2
RPL31|B7Z4C8
BIN1|O00499-11
STAC2|Q6ZMT1
AZGP1|P25311
G3BP2|Q9UN86-2
INPP5K|Q9BT40
MED11|Q9P086
VPS28|Q9UK41-2
FAM171B|Q6P995
RPL18|J3QQ67
BOD1L1|Q8NFC6
GYS1|P13807
PTPRO|Q16827
TMEM132C|Q8N3T6
GPS1|A8K070
DNAJC30|Q96LL9
SPRYD3|F8VWW7
TRAPPC8|Q9Y2L5
ENTPD3|O75355
SARDH|Q9UL12
PIP4K2A|P48426-2
SKP1|P63208
EPHB4|P54760
PAM|P19021-5
GRIK3|Q13003
STMN1|P16949
CLIC5|Q9NZA1
ITPA|Q9BY32
MAP2K3|P46734-3
SLC27A2|O14975
SPHKAP|Q2M3C7
SH2D3C|Q8N5H7
ABCF1|Q8NE71
LSM4|V9GZ56
SSU72|Q9NP77
PPM1G|O15355
KIDINS220|Q9ULH0
RANBP3|Q9H6Z4-2
RCHY1|Q96PM5
SGSM3|Q96HU1-2
KAT8|Q9H7Z6-2
RPS3|P23396
MRPL4|Q9BYD3
PAK4|O96013-4
CCDC28B|Q9BUN5
AKAP1|Q92667
BIN1|O00499-2
CSMD1|E5RIG2
GRSF1|Q12849
PITPNC1|Q9UKF7
RPS10|P46783
NOL8|Q76FK4
NHS|Q6T4R5
DCTN5|Q9BTE1
FSD1L|Q9BXM9
ATG7|O95352
CLCN6|P51797-5
ARL6|Q9H0F7-2
RPL31|P62899
RPAP1|Q9BWH6
SNX1|Q13596-3
UBL5|Q9BZL1
NUP50|Q9UKX7
LPP|Q93052
MGARP|Q8TDB4
CAMKV|Q8NCB2-3
SLC39A12|Q504Y0
GNAO1|P09471-2
MRPL53|Q96EL3
VSIG4|Q9Y279
SAA1|P0DJI8
CHMP1A|Q9HD42
EIF4G1|Q04637-8
GDI2|P50395
HIBCH|Q6NVY1
PTCD3|Q96EY7
MAD1L1|Q9Y6D9
ACTR1B|P42025
NOGENE|G3V599
STK39|Q9UEW8
HDAC11|Q96DB2
HNRNPR|O43390
KCND2|Q9NZV8
EIF4G1|Q04637-9
LRRC8C|Q8TDW0
SEPT4|O43236-4
COL6A2|P12110-2
NDUFA7|M0R0N0
RCN2|Q14257-2
IGJ|P01591
PCLO|H7C114
LRRTM2|O43300
DDX25|Q9UHL0
TPM2|Q5TCU8
ARL4C|P56559-2
SSTR2|P30874
BIN1|O00499-9
SMTN|A0A087X1R1
DTNB|E9PEY4
RNF157|Q96PX1
RBFOX2|O43251-8
SOX1|O00570
TTC37|Q6PGP7
KCNT1|Q5JUK3-2
C1R|B4DPQ0
BAG4|O95429
EIF4G1|E7EX73
SLC39A12|Q504Y0-3
ECHS1|P30084
RAB4A|P20338
ADAM10|O14672
CES1|P23141-2
FAM84A|Q96KN4
ZER1|Q7Z7L7
PSIP1|O75475-3
NOGENE|P80748
ADAM23|E7EWD3
VCPIP1|Q96JH7
OARD1|Q9Y530
KIFC2|Q96AC6
DYNC1LI2|O43237
ZNF365|Q70YC5-3
WRNIP1|Q96S55
TNFRSF21|O75509
SMCO4|Q9NRQ5
RPL23A|P62750
SON|P18583-9
MAPK12|P53778
EPN2|O95208-2
CCDC93|Q567U6
TREX1|Q9NSU2
MRPS31|Q92665
COL4A1|P02462
KCNIP2|Q9NS61-6
HM13|Q8TCT9-2
EDC4|Q6P2E9
DBNL|Q9UJU6
CHD2|O14647
IMPA1|P29218-3
STMN1|P16949-2
G3BP2|Q9UN86
ATP6V1H|G3V126
HEATR5B|Q9P2D3
FTH1|P02794
ACBD5|Q5T8D3-3
PIAS1|O75925-2
MTMR12|Q9C0I1
ATP11B|Q9Y2G3
TM9SF3|Q9HD45
TCEA1|P23193
UBTD1|Q9HAC8
CNBP|P62633
COL6A2|P12110
DGKQ|P52824
NUFIP2|Q7Z417
CLASP2|H7C4M5
PDDC1|Q8NB37
MRPS10|P82664
PLXNC1|O60486
AKAP8|O43823
SEPT4|O43236
STX16-NPEPL1|H3BU86
ADRBK1|P25098
SPTBN1|Q01082-2
CISD2|Q8N5K1
USMG5|Q96IX5
CASP1|P29466
BLOC1S2|Q6QNY1
CLEC2L|P0C7M8
CLUH|I3L2B0
ENTHD2|Q96N21
PAFAH1B1|P43034
GRIA4|G3V164
TENC1|Q63HR2-4
HIST2H3PS2|Q5TEC6
AIMP2|F8W950
MORF4L1|Q9UBU8
PRMT1|H7C2I1
MFAP1|P55081
FLOT2|J3QLD9
KIFC3|Q9BVG8-6
FBLN2|P98095-2
FAM171A1|Q5VUB5
RAN|J3KQE5
PLEKHG3|A1L390
NINJ2|Q9NZG7
COX15|Q7KZN9
HECW1|Q76N89
NFX1|Q12986
RPL38|P63173
LTBP2|Q14767
RANBP3|Q9H6Z4
RPS7|P62081
PREX1|Q8TCU6
FEZ1|Q99689
HP|P00738
LGMN|Q99538
ABCA3|Q99758
DDT|J3KQ18
CCP110|O43303
GARNL3|Q5VVW2
UBXN4|Q92575
TTBK1|Q5TCY1
PTPRG|P23470
COG8|Q96MW5
BCAS2|O75934
CNTNAP5|Q8WYK1
LDHD|Q86WU2
RECK|O95980
DPH5|Q9H2P9-5
CFHR1|Q03591
DNAJC3|Q13217
C4BPA|P04003
BRAP|Q7Z569
EMD|P50402
ENTHD2|Q96N21-2
PPP1R12A|O14974-4
TACC1|O75410
SLC22A23|C9J4Z0
PSMD4|P55036
COMMD6|Q7Z4G1-2
YTHDF1|Q9BYJ9
ENPP2|Q13822-3
PHF10|Q8WUB8
CMTR1|Q8N1G2
DAB2IP|Q5VWQ8
SYT13|Q7L8C5
TGFBR3|Q03167
WDR12|Q9GZL7
SULT1A1|P50225
TAB1|Q15750
ANKRD44|Q8N8A2
ADRM1|Q16186
DOCK1|A0A096LNH6
PNN|Q9H307
EPN2|O95208
SCN4B|Q8IWT1
LIN7A|O14910
NIN|Q8N4C6-7
IGSF3|O75054-2
ITIH1|P19827
VBP1|P61758
ADAR|P55265-4
AKR1A1|P14550
FAM219A|A0A0A0MRW3
NAA35|Q5VZE5
COMMD9|Q9P000
SLC38A2|Q96QD8
WDR44|Q5JSH3
SCG3|Q8WXD2
UBE2F|Q969M7-2
WDSUB1|Q8N9V3
LPCAT2|Q7L5N7
IER3IP1|Q9Y5U9
KCNJ10|P78508
MCUR1|Q96AQ8
PSMB5|P28074
MARC2|Q969Z3
C17orf59|Q96GS4
FADS3|Q9Y5Q0
NME3|Q13232
SRPK1|Q5R363
APOH|P02749
CA14|Q9ULX7
MIOS|Q9NXC5
CAMK1G|Q96NX5
AKAP2|Q9Y2D5-6
NUDCD1|Q96RS6
KBTBD11|O94819
PDE1B|Q01064
DSC2|Q02487
EXOC7|Q9UPT5-1
NRCAM|Q92823-3
NUP43|Q8NFH3
CLASRP|A0A0A0MQS2
MYH11|P35749-2
SRPK1|Q96SB4
TUBB4A|P04350
NHSL2|D6RBM4
DHRS13|Q6UX07
SPHK2|Q9NRA0-5
NUBPL|Q8TB37
RMND5A|Q9H871
RQCD1|Q92600
CAMK2G|A0A0A0MS52
NOGENE|F8W031
PHACTR2|J3KP75
STIM1|G0XQ39
NRGN|Q92686
CNPY4|Q8N129
IMPDH1|P20839-6
RASGRF2|O14827
FAM120A|Q9NZB2-6
C7orf43|Q8WVR3
IGSF3|O75054
IFT81|Q8WYA0
RBFOX1|F8VRS4
WDR45B|Q5MNZ6
MYH11|P35749-3
SLC25A42|Q86VD7
PCDHGC5|Q9Y5F6
HNRNPUL2|Q1KMD3
C5|P01031
HMGCL|P35914
PSMA2|P25787
FEM1B|Q9UK73
FAM45B|Q6NSW5
ACACB|O00763
HECTD1|A0A087X2H1
HNRNPL|P14866
DDX50|Q9BQ39
LRRC4C|Q9HCJ2
HAGHL|Q6PII5-2
PLCB1|Q9NQ66-2
DNAJB6|O75190-2
TBC1D20|Q96BZ9-3
KLHL22|Q53GT1
CLCN6|P51797
STX10|O60499
RPL7A|Q5T8U3
DCP1A|Q9NPI6
CPTP|Q5TA50
RQCD1|Q92600-2
PCDHGC5|Q9Y5F6-2
SEPN1|Q9NZV5
METTL7A|H0YI09
TNRC6B|Q9UPQ9-1
AIMP2|Q13155
TNKS1BP1|Q9C0C2
EXOC8|Q8IYI6
HEATR1|Q9H583
HNRPLL|D6W592
HARS2|P49590
SPRY2|A0A0A0MTG9
DOCK7|Q96N67
ELMOD2|Q8IZ81
PSMD14|O00487
HNRNPA1|P09651
GALNT2|Q10471
HDHD2|A0A0A6YYT5
EPG5|Q9HCE0
MRPL4|X6RAY8
AES|K7ELE3
NF2|P35240-2
CDIPT|B3KY94
STARD10|A0A087WXR2
MTDH|H0YBJ8
FKBP15|A0A0A0MT60
ACBD3|Q9H3P7
AAMP|C9JEH3
HSP90AB4P|Q58FF6
SYN2|A0A087WW96
RPL4|P36578
EXOC7|Q9UPT5
TYRO3|Q06418
RBM15|Q96T37
FAXC|Q5TGI0
HACL1|Q9UJ83
PRPF3|O43395
TTC1|Q99614
DUSP22|Q9NRW4-2
KIF6|Q6ZMV9
TUBB6|K7ESM5
DPYSL2|Q16555-2
XIAP|P98170
RMDN3|Q96TC7
RAB6C|Q9H0N0
NUDT9|Q9BW91
KIAA0907|Q7Z7F0
TDRD3|Q9H7E2-3
TMEM245|Q9H330-2
TAGLN|Q01995
HINT3|Q9NQE9
TLN2|H0YMT1
MRPS2|Q9Y399
MXRA7|P84157
TRNT1|Q96Q11
RIC8B|B7WPL0
CLCN4|P51793
A1BG|P04217
SAMD4B|Q5PRF9
HNRNPA1|P09651-2
IDNK|Q5T6J7-2
PREX2|Q70Z35
GPRIN1|Q7Z2K8
GCA|P28676
TCP1|P17987
HDHD1|Q08623-4
AHCY|P23526
NAA20|P61599
EP300|Q09472
ZNF365|Q70YC5-4
GALNS|P34059
PRKACB|P22694-2
GMFB|P60983
SNX12|A0A087X0R6
UBE2L3|P68036-3
LSM14B|Q9BX40-2
ANKRD27|Q96NW4
GRM5|P41594
CALM2|E7EMB3
LSS|P48449
MKRN1|Q9UHC7
TTC9C|Q8N5M4
SH3BGRL3|A0A087WV23
NGB|Q9NPG2
ARFGEF1|Q9Y6D6
BTN3A3|O00478
TRAPPC10|P48553
RIPK2|O43353
MT2A|P02795
LRIG1|Q96JA1
PDCD5|O14737
PDCD10|Q9BUL8
CASC4|Q6P4E1-4
TNRC6B|Q9UPQ9
CTSF|Q9UBX1
DOPEY2|Q9Y3R5
SPIN1|Q9Y657
TMCC2|O75069
MX1|P20591
SH2B2|A0A0A0MTI2
SRCIN1|A0A087WTE6
MMS19|Q96T76-8
SLC25A18|Q9H1K4
UBE2B|P63146
CAMKV|Q8NCB2
PDGFRA|P16234
UQCC2|Q9BRT2
C12orf45|A0A087WT30
IBA57|Q5T440
EMC2|Q15006
RGS14|O43566
AARSD1|Q9BTE6-3
ENPP4|Q9Y6X5
MLLT11|Q13015
SPHK2|Q9NRA0
PPFIA1|Q13136
ECI2|O75521
TOR1AIP1|Q5JTV8-3
RBFOX3|J3QRF4
ZSCAN18|Q8TBC5-3
VPS52|Q8N1B4
PYROXD1|Q8WU10
BABAM1|Q9NWV8
ENPP6|Q6UWR7
MYO1E|Q12965
PPM1B|O75688
HM13|Q8TCT9
SUSD2|Q9UGT4
UBE2K|P61086
ANKFY1|Q9P2R3-4
ADAM22|H7C0Q9
ZMPSTE24|O75844
GLCCI1|Q86VQ1
COQ6|Q9Y2Z9
FAM102B|Q5T8I3
DZIP3|Q86Y13
RPA3|P35244
KALRN|O60229-6
CORO7|P57737-3
CACNB3|P54284
C10orf35|Q96D05-2
ZC3H14|Q6PJT7-3
MAG|P20916
HLA-A|P30512
LMBRD2|Q68DH5
SACM1L|Q9NTJ5
SCAMP3|O14828
ORC4|O43929
VWA8|A3KMH1
MAG|P20916-2
LRRTM1|Q86UE6
NOGENE|H0YHG0
AARSD1|Q9BTE6
CD82|P27701
MT-ATP8|P03928
DLG2|E9PIW2
NYAP1|Q6ZVC0-2
STX18|Q9P2W9
GIMAP1|Q8WWP7
DCN|P07585
DDOST|P39656
NRP2|O60462
TBC1D17|Q9HA65
CYB5B|J3KNF8
ZNF428|M0QXZ5
MGST1|P10620
CARS2|Q9HA77
MRPS9|P82933
RPS11|P62280
TBCE|Q15813
BRCC3|P46736
YWHAE|P62258
MATK|P42679-2
RAB40C|Q96S21
ZNF598|Q86UK7
NAA50|Q9GZZ1
RBM17|Q96I25
GPC1|P35052
NSMF|Q6X4W1-3
KHDRBS2|Q5VWX1
WDTC1|Q8N5D0
THUMPD1|Q9NXG2
SLC4A7|Q9Y6M7-7
MEF2A|Q02078-2
NMT2|O60551
CAMK2B|Q13554-6
MAT2A|P31153
RCCD1|A6NED2
ZC3H7A|Q8IWR0
PPHLN1|F8W0Q9
MSRA|Q9UJ68
SGSM2|O43147-2
ERAP2|Q6P179
FAM96B|Q9Y3D0
GEMIN4|P57678
MNDA|P41218
DDX19A|F6QDS0
CYB5R3|P00387-3
EPS15L1|Q9UBC2-2
ARHGAP33|O14559
BUD31|P41223-2
RBM12B|Q8IXT5
ABCA5|Q8WWZ7
SF3B6|Q9Y3B4
NOS3|P29474
EPHB6|A0A087WYP8
EXOC6B|Q9Y2D4
PPIL3|H7BZ14
ATOX1|E5RIM7
GTF3C4|Q9UKN8
DYNLT1|P63172
ARKL1|Q5BIX2
HSP90B1|P14625
GPR180|Q86V85
UBE3B|Q7Z3V4
PTPN11|Q06124
PRMT5|O14744
RAB28|P51157
PHKA1|A6NMN0
PSMD1|A0A087WW66
ZC3H14|Q6PJT7
DDB1|Q16531
DAP3|P51398
DSP|P15924
TOR1AIP1|J3KN66
PTDSS2|Q9BVG9
EPHB2|P29323-3
ADCY2|Q08462
COL4A2|P08572
PPP1R12B|O60237
DPYSL2|Q16555
SLC12A7|Q9Y666
SLC20A1|Q8WUM9
YES1|J3QRU1
SEC31A|D6REX3
PPIG|Q13427
CYB5B|O43169
NDUFV3|P56181-2
FAM19A2|A0A0C4DGI5
RAPGEF5|A8MQ07
VPS4A|Q9UN37
NKIRAS1|G5E9P3
NUCB2|A0A087WSV8
CDIPT|O14735
NCAM2|H9KV31
ADH1B|P00325
ARHGEF7|Q14155
SYT13|H0YD47
TUBGCP6|Q96RT7
SHC1|P29353-6
MCF2L|O15068
MTMR1|F8WA39
GLMN|Q92990
TRAPPC9|Q96Q05-2
PFDN2|Q9UHV9
KBTBD3|Q8NAB2
DDX3Y|O15523
FGD4|E9PJX4
GPM6B|Q13491-3
ITGA2|E7ESP4
RASGEF1A|Q8N9B8-2
MRPL12|P52815
MED28|A0A087X0M1
RGS17|Q9UGC6
MAD2L1BP|Q15013-3
RBP7|Q96R05
COL1A1|P02452
PCDH9|Q9HC56
DVL2|O14641
FHL5|Q5TD97
SLC22A5|O76082-3
FKBP4|Q02790
NR2F1|P10589
TTYH2|Q9BSA4
IMPDH2|P12268
KIF1A|H7C3Y8
C6orf211|Q9H993
GABARAPL2|P60520
CNPY2|Q9Y2B0
EPHB2|P29323
PLA2G4B|P0C869-6
MARK4|Q96L34-2
ITPR3|Q14573
CSTF3|Q12996
FGD4|F8VWL3
CLDN11|O75508
EEF2|P13639
AHSG|C9JV77
MAP2K1|Q02750
SDHD|O14521
TTYH1|Q9H313-2
TMED10|P49755
MRPS36|D6R941
NUP160|Q12769
BUB3|O43684
C1QTNF4|Q9BXJ3
ABCB10|Q9NRK6
EPS15L1|Q9UBC2
ARIH1|Q9Y4X5
ALKBH4|Q9NXW9
SLC35F6|Q8N357
NDRG4|Q9ULP0
PKIB|Q5T0Z6
AHCYL1|O43865
RGMB|J3KNF6
PCDHGA9|Q9Y5G4
MCF2L|O15068-9
MT-CYB|P00156
ASAP3|Q8TDY4
GRAMD1A|M0QZ12
FMOD|Q06828
CST3|P01034
COPS6|Q7L5N1
BAD|Q92934
VARS|P26640
PPP2R5B|Q15173
ECSIT|Q9BQ95
PHKA1|P46020-2
CCSAP|Q6IQ19
RABIF|P47224
MYL3|P08590
NEDD4|P46934-4
CCDC115|Q96NT0
EEF1B2|P24534
NTPCR|Q9BSD7
DNASE1L1|P49184
ADD1|P35611-4
BRD8|Q9H0E9
AACS|Q86V21
PIP4K2A|P48426
COL4A3BP|Q9Y5P4-3
RBM10|A0A0A0MR66
UBL3|O95164
TMEM230|Q96A57-2
ATPIF1|Q9UII2
PIH1D1|Q9NWS0
GALK2|Q01415
NCAM2|O15394
OSBP|P22059
SLC6A11|P48066
C7orf25|Q9BPX7-2
TBCEL|Q5QJ74
KLHL3|Q9UH77
NBAS|A2RRP1
PKN2|Q16513
SVIP|Q8NHG7
ZBTB20|Q9HC78
NTMT1|S4R338
SEC24B|O95487-3
AHSA1|O95433
PRKDC|P78527
LAMTOR2|Q9Y2Q5
AP3S2|H0YLI7
GBF1|Q92538
PCDHGA3|Q9Y5H0
PCDHGA2|Q9Y5H1
DEPTOR|Q8TB45
SEC24C|P53992
RUSC1|Q9BVN2
WWOX|Q9NZC7
NOGENE|P01625
BNIP2|J3KN59
IGHV1-69|A0A0B4J1V5
MFAP2|P55001
OSBPL1A|Q9BXW6
LCHN|A4D1U4
C19orf25|Q9UFG5-2
TSC22D4|Q9Y3Q8
DLG2|Q15700-4
GPT2|Q8TD30
WDR91|A4D1P6
GNA11|P29992
GUCY1A3|Q02108
SYN2|A0A087X2E3
MLST8|Q9BVC4
MATR3|P43243-2
INPP4A|Q96PE3-4
ZNF638|A0A096LNX0
ACBD5|Q5T8D3
CTTNBP2|Q8WZ74
ALG9|A0A087WZ62
RAP1GAP|P47736-2
C18orf25|Q96B23-2
GNG13|Q9P2W3
SLC2A12|Q8TD20
LIN7B|Q9HAP6
NUP153|P49790-3
ALDOC|J3QKK1
UROD|P06132
